ticker,company,sector,industry
005930,삼성전자,IT,반도체
000660,SK하이닉스,IT,반도체
005380,현대차,경기소비재,자동차 및 부품
373220,LG에너지솔루션,IT,하드웨어
207940,삼성바이오로직스,의료,제약 및 바이오
012450,한화에어로스페이스,산업재,상업서비스
402340,SK스퀘어,산업재,자본재
034020,두산에너빌리티,산업재,자본재
000270,기아,경기소비재,자동차 및 부품
105560,KB금융,금융,은행
329180,HD현대중공업,산업재,자본재
068270,셀트리온,의료,제약 및 바이오
055550,신한지주,금융,은행
032830,삼성생명,금융,보험
028260,삼성물산,산업재,자본재
042660,한화오션,산업재,자본재
006400,삼성SDI,IT,하드웨어
012330,현대모비스,경기소비재,자동차 및 부품
006800,미래에셋증권,금융,증권
267260,HD현대일렉트릭,산업재,자본재
009150,삼성전기,IT,하드웨어
086790,하나금융지주,금융,은행
035420,NAVER,IT,소프트웨어
010130,고려아연,소재,소재
005490,POSCO홀딩스,소재,소재
015760,한국전력,유틸리티,유틸리티
009540,HD한국조선해양,산업재,자본재
272210,한화시스템,산업재,상업서비스
042700,한미반도체,IT,반도체
010140,삼성중공업,산업재,자본재
316140,우리금융지주,금융,은행
298040,효성중공업,산업재,자본재
010120,LS ELECTRIC,산업재,자본재
034730,SK,에너지,에너지
064350,현대로템,산업재,상업서비스
051910,LG화학,소재,소재
000810,삼성화재,금융,보험
035720,카카오,IT,소프트웨어
096770,SK이노베이션,에너지,에너지
267250,HD현대,산업재,자본재
011200,HMM,산업재,운송
003670,포스코퓨처엠,소재,소재
138040,메리츠금융지주,금융,증권
047810,한국항공우주,산업재,상업서비스
033780,KT&G,필수소비재,음식료 및 담배
066570,LG전자,경기소비재,내구 소비재 및 의류
024110,기업은행,금융,은행
079550,LIG디펜스앤에어로스페이스,산업재,상업서비스
017670,SK텔레콤,통신서비스,통신서비스
000720,현대건설,산업재,자본재
000150,두산,산업재,자본재
086280,현대글로비스,산업재,운송
030200,KT,통신서비스,통신서비스
047050,포스코인터내셔널,산업재,자본재
003550,LG,산업재,자본재
278470,에이피알,필수소비재,생활용품
0126Z0,삼성에피스홀딩스,의료,제약 및 바이오
010950,S-Oil,에너지,에너지
071050,한국금융지주,금융,증권
259960,크래프톤,IT,소프트웨어
018260,삼성에스디에스,IT,소프트웨어
352820,하이브,경기소비재,미디어
323410,카카오뱅크,금융,은행
005830,DB손해보험,금융,보험
005940,NH투자증권,금융,증권
039490,키움증권,금융,증권
307950,현대오토에버,IT,소프트웨어
003230,삼양식품,필수소비재,음식료 및 담배
003490,대한항공,산업재,운송
000880,한화,산업재,자본재
016360,삼성증권,금융,증권
006260,LS,산업재,자본재
090430,아모레퍼시픽,필수소비재,생활용품
011070,LG이노텍,IT,하드웨어
443060,HD현대마린솔루션,산업재,자본재
007660,이수페타시스,IT,하드웨어
180640,한진칼,산업재,운송
000100,유한양행,의료,제약 및 바이오
326030,SK바이오팜,의료,제약 및 바이오
028050,삼성E&A,산업재,자본재
047040,대우건설,산업재,자본재
267270,HD건설기계,산업재,자본재
161390,한국타이어앤테크놀로지,경기소비재,자동차 및 부품
032640,LG유플러스,통신서비스,통신서비스
066970,엘앤에프,IT,하드웨어
128940,한미약품,의료,제약 및 바이오
377300,카카오페이,금융,기타금융
009830,한화솔루션,에너지,에너지
029780,삼성카드,금융,기타금융
052690,한전기술,에너지,에너지
078930,GS,에너지,에너지
241560,두산밥캣,산업재,자본재
034220,LG디스플레이,IT,디스플레이
001040,CJ,산업재,자본재
064400,LG씨엔에스,IT,소프트웨어
138930,BNK금융지주,금융,은행
175330,JB금융지주,금융,은행
454910,두산로보틱스,산업재,자본재
001440,대한전선,산업재,자본재
271560,오리온,필수소비재,음식료 및 담배
021240,코웨이,경기소비재,내구 소비재 및 의류
450080,에코프로머티,IT,하드웨어
036570,NC,IT,소프트웨어
022100,포스코DX,IT,소프트웨어
004020,현대제철,소재,소재
002380,KCC,산업재,자본재
062040,산일전기,산업재,자본재
251270,넷마블,IT,소프트웨어
353200,대덕전자,IT,하드웨어
018880,한온시스템,경기소비재,자동차 및 부품
088350,한화생명,금융,보험
010060,OCI홀딩스,소재,소재
051900,LG생활건강,필수소비재,생활용품
